Neuron Input Output
ADAL 0.9933071490757153 0.999180497454356
ADAR 0.9820137900379085 0.9999173493948093
ADFL 0.9999938558253978 0.9999865370870026
AIBL 0.9999999999999065 1
AIBR 1 1
ASHL 0.8807970779778823 0.9992953069643725
AVAR 1 1
AVBL 0.9999999999999873 1
AVBR 0.9999999999981204 1
AVDL 1 1
AVDR 1 1
AVEL 1 1
AVJR 0.9998766054240137 0.999999999999869
FLPR 0.8807970779778823 0.9513323212270122
PVQL 0.9999999847700205 0.9999996288269527
RICL 0.9999998874648379 0.9999999983408263
RICR 0.999997739675702 0.9999999949454401
RIML 0.7310585786300049 1
RIPL 0.9999999999997455 1
SMDVR 0.9990889488055994 1
ADFR 0.9999546021312976 0.9999993443295372
ASHR 0.9990889488055994 0.9999650536775999
AVAL 1 1
AVJL 0.9933071490757153 0.9999999999999503
PVQR 0.999997739675702 0.9999997748941838
RIMR 0.5 1
RIPR 0.9999999999999065 1
RIVR 0.7310585786300049 0.9996574087981898
SMDVL 0.9820137900379085 0.9999999999999716
ADEL 0.9975273768433653 0.9999370504769681
ADER 0.9975273768433653 0.9995921217371679
AINL 0.5 0.5
AVKR 0.7310585786300049 0.9999998897720529
AVL 0.7310585786300049 0.999999997954873
BDUL 0.9999546021312976 0.9997521796873974
CEPDL 0.9990889488055994 0.9997936290211723
FLPL 0.9820137900379085 0.9984802787748409
IL1L 0.8807970779778823 0.9796003204482924
IL2L 0.8807970779778823 0.9706173336603132
OLLL 0.9990889488055994 0.9994393286261455
RIAL 0.9999999999999993 1
RIFL 0.7310585786300049 0.9993900434966576
RIGL 0.9999999943972036 0.9999999999999452
RIGR 0.999999694097773 0.9999999999395335
RIH 0.9999999992417439 0.9999999999148719
RIVL 0.8807970779778823 0.9974755535172055
RMDL 0.999983298578152 1
RMGL 0.9975273768433653 0.9999815073805121
RMHL 0.9975273768433653 0.9999925247518617
SIADR 0.8807970779778823 0.9524210294159009
SIBDR 0.7310585786300049 0.9984849153300143
SMBDR 0.9820137900379085 0.9999997502857085
URBL 0.9933071490757153 0.9984896210400651
ALA 0.9525741268224331 0.9212638823524033
AVER 1 1
AVKL 0.9999999999999993 1
CEPDR 0.9820137900379085 0.9970731534940235
OLLR 0.9999999943972036 0.999999999709855
PVR 0.9990889488055994 0.9999975859785095
RMDR 0.9525741268224331 1
SAAVR 0.7310585786300049 0.9987591327522679
AIZL 0.9999999999999873 1
AUAL 0.9975273768433653 0.9999982619003823
OLQVL 0.9999999586006244 0.9999999134543144
RIR 0.9998766054240137 0.9999999995303746
SMBVL 0.8807970779778823 0.9999999819638238
AIAR 1 1
AIYR 1 1
AIZR 0.9999999943972036 1
AUAR 0.9933071490757153 0.9999923790421695
AWBR 0.8807970779778823 0.9953825338636585
PVPR 0.8807970779778823 0.9999253326071923
RIAR 0.9999999999993086 1
SMBVR 0.9525741268224331 0.9999956390811771
URXR 0.8807970779778823 0.9999954643992519
ADLL 0.7310585786300049 0.9205688732659425
ADLR 0.5 0.9802595635495037
AIAL 1 1
ASER 0.9996646498695336 0.9999973353663569
AWBL 0.9525741268224331 0.9786459397583781
AWCR 0.9996646498695336 0.9999724515052255
PVCL 1 1
AFDL 0.9975273768433653 0.9991095145939913
AFDR 0.9998766054240137 0.9999964394163844
AINR 0.8807970779778823 0.8492314590804652
AIYL 1 1
AIML 0.8807970779778823 0.9820019398256699
ASGL 0.7310585786300049 0.9630875047446917
ASIL 0.5 0.5
ASKL 0.9996646498695336 0.999999608878358
AWAL 0.5 0.9525741268224331
HSNL 0.8807970779778823 0.9999626416718309
ASGR 0.9525741268224331 0.9971060752558845
ASIR 0.5 0.5
AWAR 0.8807970779778823 0.9974817607565772
AWCL 0.9999938558253978 0.9999977340049662
RIFR 0.9525741268224331 0.9999887600685641
DVC 0.5 0.9998609857116182
PVT 0.5 0.9999871411897624
RIBR 0.9999999847700205 1
SAADL 0.5 0.9999999834196702
SAADR 0.5 0.9999998396430609
SMDDR 0.9933071490757153 1
DB1 0.5 0.6224593312018546
RIBL 0.9999999586006244 1
RIS 0.8807970779778823 0.9998905747819103
SMDDL 0.9525741268224331 1
VB1 0.7310585786300049 0.9989551231956451
ALML 0.5 0.9832341002000933
AVFL 0.9820137900379085 0.9999999981392127
AVFR 0.5 0.9999998535911433
AVHL 0.7310585786300049 0.9999997634065068
AVHR 0.9525741268224331 0.9999722670752987
AIMR 0.7310585786300049 0.8737563638626772
ASJR 0.5 0.9123693628486652
ASKR 0.9820137900379085 0.9997235396627806
HSNR 0.9820137900379085 0.9999999810069659
OLQDR 0.9990889488055994 0.9999849368583404
PVNR 0.5 0.9999992549511962
