Neuron Input Output
RMGR 0.9525741268224331 0.9994217109157898
ASEL 0.9998766054240137 0.9999049728286775
BAGL 0.8807970779778823 0.9706877688153047
BAGR 0.9820137900379085 0.999879418593227
RID 0.7310585786300049 0.9999966594876815
DVA 1 1
SMBDL 0.7310585786300049 0.9999999915473069
VB2 0.5 0.9890130573694066
AVM 0.7310585786300049 0.8677026536525567
CEPVL 0.9975273768433653 0.9998428181503103
PVCR 1 1
RMDDR 0.999997739675702 1
SDQL 0.7310585786300049 0.8175244545847186
ALMR 0.5 0.7309926396838452
BDUR 0.9996646498695336 0.9998313875244177
CEPVR 0.9996646498695336 0.9999684154480325
RMDDL 0.999997739675702 1
SIADL 0.8807970779778823 0.988815886178016
ALNL 0.5 0.9239682976207412
SAAVL 0.5 0.9998926401703647
ALNR 0.5 0.8757270196872395
RMHR 0.9990889488055994 0.9999976808678439
AQR 0.5 0.999917100695955
PVPL 0.7310585786300049 0.9991340133659111
URXL 0.9525741268224331 0.9999644707546497
AS1 0.5 0.9997965730219444
DA1 0.7310585786300049 0.9999999926683012
VA3 0.5 0.9999999458256685
VD1 0.5 0.9999999999999998
VD2 0.5 0.9999999999999971
AS10 0.5 0.9990889488055976
AS11 0.5 0.9999994931522938
PDA 0.5 0.7310585786300049
PDB 0.5 0.6224593312018546
VD13 0.5 0.9999999954302818
AS2 0.5 0.9992767691348045
DA2 0.5 0.9999970421903198
DD1 0.5 1
VA4 0.5 0.9990889488055976
AS3 0.5 0.9959298622840962
DA3 0.5 0.9999999999121414
VA5 0.5 0.9990889488055994
VD3 0.5 1
AS4 0.5 0.9980364947576987
AS5 0.5 0.9999633137691892
VD4 0.5 1
DD2 0.5 1
VA7 0.5 0.7310585786300023
VD5 0.5 1
AS6 0.8807970779778823 0.9959261676036962
DA5 0.5 0.999999688545975
VA8 0.5 0.9999999999377585
VD6 0.5 1
AS7 0.5 0.9999938558253978
AS8 0.5 0.999983298578152
AS9 0.5 0.9999991684719722
DVB 0.5 0.5
ASJL 0.5 0.8175744739221463
DA4 0.5 0.9999999586006244
DA6 0.5 0.9999999999957119
DA7 0.5 0.9933071490757153
DA8 0.8807970779778823 0.9999999992308608
DA9 0.9999546021312976 0.9999999969378113
DB5 0.5 0.9990889488055994
DB6 0.5 0.9999938558253978
LUAL 0.7310585786300049 0.9995590391184633
SABD 0.7310585786300049 0.9999999894533148
SABVR 0.5 0.999985982493476
SDQR 0.5 0.5
URYDL 0.9525741268224331 0.9932888983708459
URYVR 0.5 0.8677026535655129
VA1 0.8807970779778823 0.999976424828825
VA10 0.5 0.9999546021312976
VA11 0.5 0.9999999955415406
VA12 0.9975273768433653 0.9999826373648518
VA2 0.5 0.999986744153195
VA6 0.5 0.9999237954966125
VA9 0.8807970779778823 0.9999999987497903
VB9 0.5 0.9508330645850747
DB3 0.7310585786300049 0.9999977376154972
LUAR 0.8807970779778823 0.9933071490757153
PDEL 0.9999546021312976 0.9999999045505061
PDER 0.999997739675702 0.9999986661423145
SABVL 0.5 0.9999999998594848
URYDR 0.7310585786300049 0.8769681683739503
URYVL 0.5 0.7310573706102432
DB4 0.5 0.9999546021312976
DB7 0.5 0.9998753790884265
SIBVL 0.7310585786300049 0.9997324954792176
VB10 0.5 0.9912599298862055
VB11 0.5 0.9706877692486436
VB4 0.5 0.9933071490757153
VB5 0.5 0.9525741268224331
VB6 0.5 0.9890130573694068
VB7 0.5 0.9706877692486436
VB8 0.5 0.9998785444868794
VC3 0.5 0.9994371946652403
DB2 0.7310585786300049 0.9975251287082662
PVNL 0.8807970779778823 0.9999154393840585
VB3 0.5 0.8807970779778823
VD10 0.7310585786300049 0.9765935421589984
PQR 0.5 0.9772814775543065
RMDVR 0.9933071490757153 1
RMEV 0.9996646498695336 0.9999999969283131
RMDVL 0.9820137900379085 1
AVG 0.9998766054240137 0.9999673740255957
VC4 0.5 0.6224593312018546
VD11 0.7310585786300049 0.880792311410477
PHAL 0.9975273768433653 0.9996508277967785
PHBR 0.999983298578152 0.9999824994645279
PLMR 0.5 0.8793844859243165
PVM 0.8807970779778823 0.9525700248057429
RMFR 0.5 0.9995612133917237
SIAVR 0.8807970779778823 0.9994725183121393
RMFL 0.5 0.9996382580388813
DD6 0.5 0.9999999964528683
PVWL 0.5 0.9855671629361488
VD12 0.5 0.9999186620439533
URADL 0.9975273768433653 0.9959185836923187
URADR 0.9820137900379085 0.9701619456074108
IL1DL 0.9999938558253978 0.9999884786427997
OLQDL 0.999997739675702 0.9999997946436936
IL1DR 0.999999694097773 0.9999982779075709
IL1R 0.8807970779778823 0.9994814619644847
URBR 0.9525741268224331 0.9367360659831799
IL1VL 0.9999938558253978 0.99995425222071
SIAVL 0.7310585786300049 0.9957241147117012
URAVL 0.9933071490757153 0.9705467340416335
IL1VR 0.9998766054240137 0.9999436301282478
IL2VR 0.8807970779778823 0.9525382393746031
OLQVR 0.999983298578152 0.999999872862706
URAVR 0.9933071490757153 0.9892586278667247
PHCL 0.7310585786300049 0.7310585786300049
DD3 0.5 1
DD4 0.5 1
VD8 0.5 0.9241418199787566
DD5 0.7310585786300049 0.9999999999999976
VD9 0.5 0.9999995149577533
VC5 0.5 0.9586078661707814
VC2 0.5 0.9973906499989379
I1L 0.5 0.999997739675702
I1R 0.5 0.999997739675702
I3 0.5 0.9996646498695336
I5 0.5 0.9999991684719722
I2L 0.5 0.9999546021312976
M1 0.5 0.9990889488055994
I2R 0.5 0.9999546021312976
M2L 0.5 0.6224593312018546
M2R 0.5 0.6224593312018546
I4 0.5 0.9990889488055994
M5 0.5 0.6224593312018546
MI 0.5 0.9820137900379085
I6 0.5 0.9820137900379085
M4 0.5 0.5
NSML 0.5 0.9706877692486436
NSMR 0.5 0.9890130573694068
RMER 0.999999694097773 0.9999999991320203
RMEL 0.9999991684719722 0.9999984153017629
RMED 0.7310585786300049 0.9995014184503953
IL2R 0.7310585786300049 0.9503850076469547
IL2DL 0.5 0.5
IL2DR 0.5 0.5
VC1 0.5 0.9706877692486436
VD7 0.5 0.9999991684719722
IL2VL 0.5 0.7310585704903935
PHBL 0.9990889488055994 0.9995527680716173
PLML 0.5 0.5
M3L 0.5 0.7310585786300049
M3R 0.5 0.7310585786300049
MCL 0.5 0.5
MCR 0.5 0.5
SIBVR 0.5 0.9984822576113498
SIBDL 0.5 0.9525741212115765
PHAR 0.9933071490757153 0.9932244550995195
PHCR 0.5 0.5
PLNL 0.5 0.7069873680001046
PLNR 0.5 0.5
PVDL 0.7310585786300049 0.8175744761936437
PVWR 0.5 0.8175744761936437
PVDR 0.5 0.5
