Neuron Input Output
ADAL 0 0.9933071490757153
ADAR 0 0.9820137900379085
ADFL 1 0.9999938558253978
AIBL 0 0.9999999999999065
AIBR 0 1
ASHL 1 0.8807970779778823
AVAR 0 1
AVBL 0 0.9999999999999873
AVBR 0 0.9999999999981204
AVDL 0 1
AVDR 0 1
AVEL 0 1
AVJR 0 0.9998766054240137
FLPR 1 0.8807970779778823
PVQL 0 0.9999999847700205
RICL 0 0.9999998874648379
RICR 0 0.999997739675702
RIML 0 0.7310585786300049
RIPL 0 0.9999999999997455
SMDVR 0 0.9990889488055994
ADFR 1 0.9999546021312976
ASHR 1 0.9990889488055994
AVAL 0 1
AVJL 0 0.9933071490757153
PVQR 0 0.999997739675702
RIMR 0 0.5
RIPR 0 0.9999999999999065
RIVR 0 0.7310585786300049
SMDVL 0 0.9820137900379085
ADEL 1 0.9975273768433653
ADER 1 0.9975273768433653
AINL 0 0.5
AVKR 0 0.7310585786300049
AVL 0 0.7310585786300049
BDUL 0 0.9999546021312976
CEPDL 1 0.9990889488055994
FLPL 1 0.9820137900379085
IL1L 0 0.8807970779778823
IL2L 1 0.8807970779778823
OLLL 1 0.9990889488055994
RIAL 0 0.9999999999999993
RIFL 0 0.7310585786300049
RIGL 0 0.9999999943972036
RIGR 0 0.999999694097773
RIH 0 0.9999999992417439
RIVL 0 0.8807970779778823
RMDL 0 0.999983298578152
RMGL 0 0.9975273768433653
RMHL 0 0.9975273768433653
SIADR 0 0.8807970779778823
SIBDR 0 0.7310585786300049
SMBDR 0 0.9820137900379085
URBL 0 0.9933071490757153
ALA 0 0.9525741268224331
AVER 0 1
AVKL 0 0.9999999999999993
CEPDR 1 0.9820137900379085
OLLR 1 0.9999999943972036
PVR 1 0.9990889488055994
RMDR 0 0.9525741268224331
SAAVR 0 0.7310585786300049
AIZL 0 0.9999999999999873
AUAL 0 0.9975273768433653
OLQVL 0 0.9999999586006244
RIR 0 0.9998766054240137
SMBVL 0 0.8807970779778823
AIAR 0 1
AIYR 0 1
AIZR 0 0.9999999943972036
AUAR 0 0.9933071490757153
AWBR 1 0.8807970779778823
PVPR 0 0.8807970779778823
RIAR 0 0.9999999999993086
SMBVR 0 0.9525741268224331
URXR 0 0.8807970779778823
ADLL 1 0.7310585786300049
ADLR 1 0.5
AIAL 0 1
ASER 1 0.9996646498695336
AWBL 1 0.9525741268224331
AWCR 1 0.9996646498695336
PVCL 0 1
AFDL 1 0.9975273768433653
AFDR 1 0.9998766054240137
AINR 0 0.8807970779778823
AIYL 0 1
AIML 0 0.8807970779778823
ASGL 1 0.7310585786300049
ASIL 1 0.5
ASKL 1 0.9996646498695336
AWAL 1 0.5
HSNL 0 0.8807970779778823
ASGR 1 0.9525741268224331
ASIR 1 0.5
AWAR 1 0.8807970779778823
AWCL 1 0.9999938558253978
RIFR 0 0.9525741268224331
DVC 0 0.5
PVT 0 0.5
RIBR 0 0.9999999847700205
SAADL 0 0.5
SAADR 0 0.5
SMDDR 0 0.9933071490757153
DB1 0 0.5
RIBL 0 0.9999999586006244
RIS 0 0.8807970779778823
SMDDL 0 0.9525741268224331
VB1 0 0.7310585786300049
ALML 1 0.5
AVFL 0 0.9820137900379085
AVFR 0 0.5
AVHL 0 0.7310585786300049
AVHR 0 0.9525741268224331
AIMR 0 0.7310585786300049
ASJR 1 0.5
ASKR 1 0.9820137900379085
HSNR 0 0.9820137900379085
OLQDR 0 0.9990889488055994
PVNR 0 0.5
RMGR 0 0.9525741268224331
ASEL 1 0.9998766054240137
BAGL 1 0.8807970779778823
BAGR 1 0.9820137900379085
RID 0 0.7310585786300049
DVA 0 1
SMBDL 0 0.7310585786300049
VB2 0 0.5
AVM 1 0.7310585786300049
CEPVL 1 0.9975273768433653
PVCR 0 1
RMDDR 0 0.999997739675702
SDQL 0 0.7310585786300049
ALMR 1 0.5
BDUR 0 0.9996646498695336
CEPVR 1 0.9996646498695336
RMDDL 0 0.999997739675702
SIADL 0 0.8807970779778823
ALNL 0 0.5
SAAVL 0 0.5
ALNR 0 0.5
RMHR 0 0.9990889488055994
AQR 1 0.5
PVPL 0 0.7310585786300049
URXL 0 0.9525741268224331
AS1 0 0.5
DA1 0 0.7310585786300049
VA3 0 0.5
VD1 0 0.5
VD2 0 0.5
AS10 0 0.5
AS11 0 0.5
PDA 0 0.5
PDB 0 0.5
VD13 0 0.5
AS2 0 0.5
DA2 0 0.5
DD1 0 0.5
VA4 0 0.5
AS3 0 0.5
DA3 0 0.5
VA5 0 0.5
VD3 0 0.5
AS4 0 0.5
AS5 0 0.5
VD4 0 0.5
DD2 0 0.5
VA7 0 0.5
VD5 0 0.5
AS6 0 0.8807970779778823
DA5 0 0.5
VA8 0 0.5
VD6 0 0.5
AS7 0 0.5
AS8 0 0.5
AS9 0 0.5
DVB 0 0.5
ASJL 1 0.5
DA4 0 0.5
DA6 0 0.5
DA7 0 0.5
DA8 0 0.8807970779778823
DA9 0 0.9999546021312976
DB5 0 0.5
DB6 0 0.5
LUAL 0 0.7310585786300049
SABD 0 0.7310585786300049
SABVR 0 0.5
SDQR 0 0.5
URYDL 0 0.9525741268224331
URYVR 0 0.5
VA1 0 0.8807970779778823
VA10 0 0.5
VA11 0 0.5
VA12 0 0.9975273768433653
VA2 0 0.5
VA6 0 0.5
VA9 0 0.8807970779778823
VB9 0 0.5
DB3 0 0.7310585786300049
LUAR 0 0.8807970779778823
PDEL 1 0.9999546021312976
PDER 1 0.999997739675702
SABVL 0 0.5
URYDR 0 0.7310585786300049
URYVL 0 0.5
DB4 0 0.5
DB7 0 0.5
SIBVL 0 0.7310585786300049
VB10 0 0.5
VB11 0 0.5
VB4 0 0.5
VB5 0 0.5
VB6 0 0.5
VB7 0 0.5
VB8 0 0.5
VC3 0 0.5
DB2 0 0.7310585786300049
PVNL 0 0.8807970779778823
VB3 0 0.5
VD10 0 0.7310585786300049
PQR 1 0.5
RMDVR 0 0.9933071490757153
RMEV 0 0.9996646498695336
RMDVL 0 0.9820137900379085
AVG 0 0.9998766054240137
VC4 0 0.5
VD11 0 0.7310585786300049
PHAL 1 0.9975273768433653
PHBR 1 0.999983298578152
PLMR 1 0.5
PVM 1 0.8807970779778823
RMFR 0 0.5
SIAVR 0 0.8807970779778823
RMFL 0 0.5
DD6 0 0.5
PVWL 0 0.5
VD12 0 0.5
URADL 0 0.9975273768433653
URADR 0 0.9820137900379085
IL1DL 0 0.9999938558253978
OLQDL 0 0.999997739675702
IL1DR 0 0.999999694097773
IL1R 0 0.8807970779778823
URBR 0 0.9525741268224331
IL1VL 0 0.9999938558253978
SIAVL 0 0.7310585786300049
URAVL 0 0.9933071490757153
IL1VR 0 0.9998766054240137
IL2VR 1 0.8807970779778823
OLQVR 0 0.999983298578152
URAVR 0 0.9933071490757153
PHCL 1 0.7310585786300049
DD3 0 0.5
DD4 0 0.5
VD8 0 0.5
DD5 0 0.7310585786300049
VD9 0 0.5
VC5 0 0.5
VC2 0 0.5
I1L 0 0.5
I1R 0 0.5
I3 0 0.5
I5 0 0.5
I2L 0 0.5
M1 0 0.5
I2R 0 0.5
M2L 0 0.5
M2R 0 0.5
I4 0 0.5
M5 0 0.5
MI 0 0.5
I6 0 0.5
M4 0 0.5
NSML 0 0.5
NSMR 0 0.5
RMER 0 0.999999694097773
RMEL 0 0.9999991684719722
RMED 0 0.7310585786300049
IL2R 1 0.7310585786300049
IL2DL 1 0.5
IL2DR 1 0.5
VC1 0 0.5
VD7 0 0.5
IL2VL 1 0.5
PHBL 1 0.9990889488055994
PLML 1 0.5
M3L 0 0.5
M3R 0 0.5
MCL 0 0.5
MCR 0 0.5
SIBVR 0 0.5
SIBDL 0 0.5
PHAR 1 0.9933071490757153
PHCR 1 0.5
PLNL 0 0.5
PLNR 0 0.5
PVDL 1 0.7310585786300049
PVWR 0 0.5
PVDR 1 0.5
